Vertices:
---------

Vertex 51: (-0.305322, -0.334132, -1.26524, 1, 0, 0, 0.780306, -0.699522)
Vertex 52: (-0.305322, -0.365916, -0.954351, 0, 0.994815, 0.101705, 0.78042, -0.719412)
Vertex 53: (0.356128, -0.365916, -0.954351, 0, 0.994815, 0.101705, 0.717707, -0.71977)
Vertex 54: (-0.385296, 0.33805, -1.91164, -0.997975, 0.06006, 0.02095, 0.818235, -0.730032)
Vertex 55: (-0.323268, 0.453416, -1.88903, -0.873163, 0.486615, 0.028134, 0.796397, -0.726765)
Vertex 56: (-0.253817, 0.453416, -1.88903, 0, 0.901116, 0.433577, 0.775196, -0.659641)
Vertex 57: (-0.305322, -0.062422, -1.88788, 0.997449, -0.071058, -0.006717, 0.780079, -0.659687)
Vertex 58: (-0.379842, 0.314164, -1.58335, -0.995589, 0.091093, 0.022464, 0.822472, -0.68079)
Vertex 59: (-0.320955, 0.433134, -1.60143, -0.864408, 0.495225, 0.086895, 0.799987, -0.683628)
Vertex 60: (-0.251964, 0.433134, -1.60143, 0, 0.989893, -0.141816, 0.775125, -0.678043)
Vertex 61: (-0.305322, -0.090581, -1.59, 0.992556, -0.096346, -0.074495, 0.780188, -0.678745)
Vertex 62: (0.436101, 0.33805, -1.91164, 0.997976, 0.060033, 0.020946, 0.684327, -0.730794)
Vertex 63: (0.374073, 0.453416, -1.88903, 0.873162, 0.486617, 0.028135, 0.703769, -0.727293)
Vertex 64: (0.304622, 0.453416, -1.88903, -0.989858, -0.123422, 0.070338, 0.72225, -0.659943)
Vertex 65: (0.356128, -0.062422, -1.88788, -0.997449, -0.07106, -0.006718, 0.717367, -0.660045)
Vertex 66: (0.430648, 0.314163, -1.58335, 0.995593, 0.091045, 0.022459, 0.680017, -0.681602)
Vertex 67: (0.371759, 0.433134, -1.60143, 0.087533, 0.940546, -0.328195, 0.715989, -0.67838)
Vertex 68: (0.302769, 0.433134, -1.60143, 0, 0.989893, -0.141815, 0.72253, -0.678342)
Vertex 69: (0.356128, -0.090581, -1.59, -0.992556, -0.096347, -0.074494, 0.717476, -0.679102)
Vertex 70: (0.425194, 0.290277, -1.25506, 0.997898, 0.061299, 0.021036, 0.675707, -0.632409)
Vertex 71: (0.37518, 0.384325, -1.2369, 0.866886, 0.49772, 0.02798, 0.691557, -0.629595)
Vertex 72: (0.305508, 0.384325, -1.2369, -0.989865, -0.124386, 0.068523, 0.722403, -0.701666)
Vertex 73: (0.356128, -0.128978, -1.2432, -0.997521, -0.07, -0.007156, 0.717602, -0.70129)
Vertex 74: (0.419741, 0.26639, -0.926771, 0.995837, 0.08817, 0.023112, 0.671397, -0.583216)
Vertex 75: (0.372827, 0.354953, -0.926779, 0, 0.961996, -0.273062, 0.716134, -0.721543)
Vertex 76: (0.303624, 0.354953, -0.926779, 0, 0.992194, -0.124703, 0.722695, -0.721506)
Vertex 77: (0.356128, -0.160545, -0.934428, -0.992624, -0.093847, -0.076743, 0.717715, -0.721045)
Vertex 78: (-0.368935, 0.266391, -0.926771, -0.995837, 0.088169, 0.023114, 0.830946, -0.582307)
Vertex 79: (-0.322022, 0.354953, -0.926779, -0.853004, 0.514724, 0.086275, 0.814197, -0.582403)
Vertex 80: (-0.252819, 0.354953, -0.926779, 0, 0.992194, -0.124703, 0.775452, -0.721205)
Vertex 81: (-0.305322, -0.160545, -0.934428, 0.992624, -0.093846, -0.076744, 0.780427, -0.720687)
Vertex 82: (-0.374389, 0.290277, -1.25506, -0.997898, 0.061298, 0.021036, 0.826709, -0.631548)
Vertex 83: (-0.324375, 0.384325, -1.2369, -0.866887, 0.497719, 0.027978, 0.808907, -0.628927)
Vertex 84: (-0.254703, 0.384325, -1.2369, 0, 0.908907, 0.417, 0.775518, -0.701363)
Vertex 85: (-0.305322, -0.128978, -1.2432, 0.997521, -0.069998, -0.007156, 0.780315, -0.700933)
Vertex 86: (0.350782, 0.562877, -3.5865, 0.753723, 0.654633, 0.05795, 0.723684, -0.981664)
Vertex 87: (0.350782, 0.134766, -3.70502, 0, -0.888961, -0.457984, 0.818885, -0.99889)
Vertex 88: (-0.339463, -0.269818, -2.91971, -0.998187, -0.00307, -0.060104, 0.934058, -0.880501)
Vertex 89: (-0.299976, 0.562877, -3.5865, -0.998037, -0.002773, -0.062566, 0.777145, -0.98136)
Vertex 90: (0.390268, -0.269818, -2.91971, 0.998364, -0.010093, -0.056285, 0.582647, -0.882503)
Vertex 91: (0.350782, 0.134766, -3.70502, 0.998959, 0.01217, -0.043959, 0.651567, -0.999844)
Vertex 92: (0.350782, 0.562877, -3.5865, 0.998037, -0.002774, -0.062566, 0.723684, -0.981664)
Vertex 93: (-0.299976, 0.562877, -3.5865, -0.753723, 0.654633, 0.05795, 0.777145, -0.98136)
Vertex 94: (-0.38447, 0.357646, -2.36707, -0.780194, 0.623981, 0.044103, 0.814918, -0.798328)
Vertex 95: (0.276847, 0.540056, -2.36707, 0, 0.999844, -0.017632, 0.804438, -0.798387)
Vertex 96: (0.350782, 0.562877, -3.5865, 0, 0.999825, 0.018711, 0.818784, -0.981122)
Vertex 97: (-0.299976, 0.562877, -3.5865, 0, 0.999825, 0.018711, 0.70169, -0.981789)
Vertex 98: (0.127371, 0.058052, 2.96531, 0, 3.1e-05, 1, 0, -2)
Vertex 99: (-0.076567, 0.058052, 2.96531, 0, 3.1e-05, 1, 1, -2)
Vertex 100: (0.276847, 0.540056, -2.36707, 0, 0.938853, -0.344317, 0.804438, -0.798387)
Vertex 101: (0.253892, 0.646877, -2.0758, 0, 0.938853, -0.344317, 0.800059, -0.754745)
Vertex 102: (-0.38447, 0.357646, -2.36707, -0.742922, 0.645252, -0.178094, 0.814918, -0.798328)
Vertex 103: (-0.203087, 0.646877, -2.0758, -0.810819, 0.580867, -0.071878, 0.759968, -0.754974)
Vertex 104: (-0.339463, -0.269818, -2.91971, -0.998134, -0.059495, -0.013738, 0.934058, -0.880501)
Vertex 105: (0.390268, -0.269818, -2.91971, 0.998493, -0.003687, -0.054747, 0.582647, -0.882503)
Vertex 106: (0.431218, -0.400603, -2.16404, 0.999922, -0.003752, -0.011867, 0.559939, -0.769342)
Vertex 107: (-0.203087, 0.646877, -2.0758, -0.848788, 0.52873, 0.001502, 0.759968, -0.754974)
Vertex 108: (-0.375042, -0.511327, -1.03054, -0.000319, -0.998801, -0.048946, 0.68611, -0.618066)
Vertex 109: (0.431218, -0.400603, -2.16404, 0.999804, -0.011987, 0.015738, 0.559939, -0.769342)
Vertex 110: (0.247847, 0.503541, -0.762633, 0.82355, 0.559299, 0.094603, 0.711262, -0.558381)
Vertex 111: (0.127371, 0.058052, 2.96531, 0.823639, 0.55936, 0.093461, 0.632928, -0.159023)
Vertex 112: (-0.076567, 0.058052, 2.96531, -0.82364, 0.559359, 0.093461, 0.867023, -0.15769)
Vertex 113: (-0.076567, 0.058052, 2.96531, -0.996995, 2e-06, 0.077461, 0.867023, -0.15769)
Vertex 114: (-0.375042, -0.511327, -1.03054, -1e-06, -0.99815, 0.060802, 0.68611, -0.618066)
